id	source	category	status	requirement	evidence	check
P24-RB-018	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Required-Behavior	validation	PASS	Assertion-grade coverage replaces print-only or vacuous validation for the entire normative contract	tools/phase24-conformance-coverage.tsv#P24-COV-LANG-001;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-002;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-003;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-004;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-005;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-006;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-007;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-008;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-009;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-010;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-011;tools/phase24-conformance-coverage.tsv#P24-COV-LANG-012;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-001;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-002;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-003;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-004;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-005;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-006;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-007;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-008;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-009;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-010;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-011;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-012;tools/phase24-conformance-coverage.tsv#P24-COV-BACK-013	coverage
P24-TGT-001	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	build	PASS	Root POM is a Java 25 parent aggregator with exactly four child modules, including the optional REPL module	pom.xml;lyra-runtime/pom.xml;lyra-compiler/pom.xml;lyra-cli/pom.xml	layout
P24-TGT-002	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	build	PASS	lyra-runtime is the minimal classpath runtime artifact with no JPMS descriptor	pom.xml;lyra-runtime/pom.xml;lyra-compiler/pom.xml;lyra-cli/pom.xml	layout
P24-TGT-003	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	build	PASS	lyra-compiler owns frontend semantics IR emission packaging and compiler tests	pom.xml;lyra-runtime/pom.xml;lyra-compiler/pom.xml;lyra-cli/pom.xml	layout
P24-TGT-004	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	build	PASS	lyra-cli owns command parsing launch composition integration tests and scripts	pom.xml;lyra-runtime/pom.xml;lyra-compiler/pom.xml;lyra-cli/pom.xml	layout
P24-TGT-005	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	migration	PASS	Legacy prototype source packages are not compiled or exposed	tools/phase24-release-audit.sh	legacy
P24-TGT-006	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	source	PASS	Source snapshots identities revisions UTF-8 validation spans and graph resolution exist	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree	frontend
P24-TGT-007	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	lexer	PASS	The complete token trivia span literal modifier and malformed-input lexer model exists	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree	frontend
P24-TGT-008	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	grammar	PASS	Grammar matching recognizes only current normative syntax and emits replay descriptors	lyra-compiler/src/test/java/GrammarMatcherTest.java#testRangesAndNestedInvariantsAreExecutable;lyra-compiler/src/test/java/ParserTest.java#testReplayIsDeterministicDeeplyImmutableAndInvariantChecked	grammar
P24-TGT-009	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	parser	PASS	Parser replay constructs the immutable AST with exact accessor and aggregate distinctions	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree	frontend
P24-TGT-010	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	ast	PASS	Syntax AST nodes are span-complete immutable and free of semantic/JVM state	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/semantic/Domain11SealingTest.java#publicationAttachesImmutableFactsAndNestedCollections;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/ir/TypedIrTest.java#everyClosedIrVariantIsProducedBySupportedSource	sealing
P24-TGT-011	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	documentation	PASS	Human-readable grammar is synchronized as subordinate EBNF and excludes deferred productions	tools/phase24-release-audit.sh;lyra-compiler/src/main/resources/grammar_spec.md	scope
P24-TGT-012	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	migration	PASS	Obsolete duplicate grammar resources and prototype evidence are absent from the active build	tools/phase24-release-audit.sh	legacy
P24-TGT-013	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	semantic	PASS	Declaration collection scopes resolution captures mutation authorization and initialization analysis exist	lyra-compiler/src/test/java/SemanticResolverTest.java#testMutationAuthorizationAndImportedOwnership;lyra-compiler/src/test/java/TypeCheckerTest.java#testScalarsDeclarationsOperatorsAndCalls;lyra-compiler/src/test/java/Domain11FlowStateTest.java#shortCircuitOperatorsRetainTheSkippedCallableEffectPath	semantic
P24-TGT-014	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	types	PASS	Immutable type/signature qualifiers exact literals and conversion rules exist	lyra-compiler/src/test/java/TypeIdentityTest.java#testExactLiteralTyping;lyra-compiler/src/test/java/TypeCheckerTest.java#testValidatorEnforcesCallAndAccessShapeMatrix;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/JvmAbiMapperTest.java#arraysTuplesAndFunctionsUseConcreteGeneratedReferences	types
P24-TGT-015	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	ir	PASS	Closed typed IR represents conversions checks order captures aggregates modules and schedules	tools/phase24-release-audit.sh	ir
P24-TGT-016	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	jvm	PASS	Class-File API emission ABI mapping deterministic generated types and debug attributes exist	lyra-compiler/src/test/java/ClassFileApiSpikeTest.java#testLoadsInvokesAndPassesExternalVerification;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#verifiesAndInvokesTheCompleteArtifactInAnExternalJvm;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase23StructuralBytecodeTest.java#directSelfTailCallHasNoGeneratedRecursiveInvokeAndKeepsConstantStack	jvm
P24-TGT-017	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	runtime	PASS	Runtime values failures metadata lifecycle threading loading and authenticated closures exist	lyra-runtime/src/test/java/io/mindspice/lyra/runtime/RuntimeFoundationTest.java#optionsOwnNoStreamsAndLifecycleChecksOrderAndInvalidation;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#handlesAndClosuresAreOwnerConfinedAndInvalidatedAfterClose	runtime
P24-TGT-018	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	artifact	PASS	Canonical metadata source maps deterministic output thin/bundled packaging and atomic writing exist	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/artifact/Phase18ArtifactTest.java#metadataIsCanonicalEscapedOrderedAndReadable;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase18SmokeTest.java#thinJarIsStoredReproducibleAndUsesEpochEntries	artifact
P24-TGT-019	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	api	PASS	Public compile request/result/artifact resolver and runtime API records/results/builders exist	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#generatedFacadeCompilesAsAnOrdinaryJavaConsumer;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#compilerPublishesImmutableArtifactAndExactBoundHandle;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#generatedFacadeExposesExactJavaTypesAndCompilesAsAConsumer	api
P24-TGT-020	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	cli	PASS	Fixed CLI parser implements run compile help version defaults and exit policy	lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#helpVersionAndUsageAreStable;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures;tools/phase24-release-audit.sh	cli
P24-TGT-021	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	distribution	PASS	Unix and Windows launchers are shipped with deterministic forwarding	lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#helpVersionAndUsageAreStable;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures;tools/phase24-release-audit.sh	cli
P24-TGT-022	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Targets	validation	PASS	The four modules contain focused assertion-based unit integration subprocess and benchmark evidence	pom.xml;tools/phase24-release-audit.sh	tests
P24-CON-001	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	contract	PASS	Living language-core and backend-runtime specifications are treated as the governing contract	.internal-dev/specifications/language-core.md;.internal-dev/specifications/backend-runtime.md;.internal-dev/specifications/deferred-features.md;lyra-compiler/src/main/resources/grammar_spec.md;tools/phase23-gates.json	contracts
P24-CON-002	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	frontend	PASS	Grammar/replay is strengthened without replacing the selected two-phase boundary	lyra-compiler/src/test/java/GrammarMatcherTest.java#testRangesAndNestedInvariantsAreExecutable;lyra-compiler/src/test/java/ParserTest.java#testReplayIsDeterministicDeeplyImmutableAndInvariantChecked	grammar
P24-CON-003	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	scope	PASS	No LSP is implemented while parser phase boundaries remain available for later use	tools/phase24-release-audit.sh;lyra-compiler/src/main/resources/grammar_spec.md	scope
P24-CON-004	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	build	PASS	Exactly runtime compiler REPL and CLI classpath modules exist with no module-info.java	pom.xml;lyra-runtime/pom.xml;lyra-compiler/pom.xml;lyra-cli/pom.xml	layout
P24-CON-005	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	migration	PASS	Normative io.mindspice.lyra packages are used without prototype parse/lang/util adapters	tools/phase24-release-audit.sh	legacy
P24-CON-006	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	versions	PASS	Language contract 1 runtime ABI 1.0 artifact/debug schema 1 and Java 25 target are centralized	.internal-dev/specifications/language-core.md;.internal-dev/specifications/backend-runtime.md;.internal-dev/specifications/deferred-features.md;lyra-compiler/src/main/resources/grammar_spec.md;tools/phase23-gates.json	contracts
P24-CON-007	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	artifacts	PASS	Canonical JSON ordering escaping sorting and UTF-8 are explicit rather than incidental	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/artifact/Phase18ArtifactTest.java#metadataIsCanonicalEscapedOrderedAndReadable;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase18SmokeTest.java#thinJarIsStoredReproducibleAndUsesEpochEntries	artifact
P24-CON-008	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	api	PASS	Immutable records/sealed results and builders only for complex options are used at public boundaries	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#generatedFacadeCompilesAsAnOrdinaryJavaConsumer;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#compilerPublishesImmutableArtifactAndExactBoundHandle;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#generatedFacadeExposesExactJavaTypesAndCompilesAsAConsumer	api
P24-CON-009	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	failures	PASS	Expected source/configuration/resolution errors are result data and invariant failures use the defined boundary	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#runtimeFailureMatrixIncludesFramesAndInitializationCause;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures	diagnostics
P24-CON-010	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	semantics	PASS	Strict eager left-to-right behavior is preserved independently of JVM lowering	lyra-compiler/src/test/java/ClassFileApiSpikeTest.java#testLoadsInvokesAndPassesExternalVerification;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#verifiesAndInvokesTheCompleteArtifactInAnExternalJvm;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase23StructuralBytecodeTest.java#directSelfTailCallHasNoGeneratedRecursiveInvokeAndKeepsConstantStack	jvm
P24-CON-011	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	completeness	PASS	No AST/semantic/IR placeholder TODO skipped visitor or fake substitutes normative behavior	tools/phase24-release-audit.sh;lyra-compiler/src/main/resources/grammar_spec.md	scope
P24-CON-012	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	deferred	PASS	Interop engine Vulkan sandbox reload caches extra backends and other deferred capabilities remain absent	tools/phase24-release-audit.sh;lyra-compiler/src/main/resources/grammar_spec.md	deferred
P24-CON-013	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	spike	PASS	The bounded Class-File API spike is test-only and does not create a second production execution path	lyra-compiler/src/test/java/ClassFileApiSpikeTest.java#testLoadsInvokesAndPassesExternalVerification;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#verifiesAndInvokesTheCompleteArtifactInAnExternalJvm;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase23StructuralBytecodeTest.java#directSelfTailCallHasNoGeneratedRecursiveInvokeAndKeepsConstantStack	jvm
P24-CON-014	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	workspace	PASS	The audit does not alter unrelated dirty deleted or untracked workspace state	tools/phase24-release-audit.sh	workspace
P24-CON-015	.internal-dev/plans/20260830-194512-implement-the-complete-lyra-language-jvm-backend-runtime/plan.md#Constraints	performance	PASS	Numerical thresholds are owner-ratified from recorded evidence rather than invented by this audit	tools/phase23-evidence.sh;tools/phase23-gates.json;tools/phase23_gate.py	phase23
P24-LANG-VAL-001	.internal-dev/specifications/language-core.md#Validation	lexer	PASS	Accepted/rejected lexical spelling comments commas mandatory annotation spacing and spans are asserted	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree	frontend
P24-LANG-VAL-002	.internal-dev/specifications/language-core.md#Validation	literals	PASS	Every literal family and exact numeric boundary behavior has assertions	lyra-compiler/src/test/java/LexerTest.java#testLiteralsAndUtf16Rules;lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/ParserTest.java#testParserBuildsCompleteImmutableTree	frontend
P24-LANG-VAL-003	.internal-dev/specifications/language-core.md#Validation	modifiers	PASS	Modifier legality and mutation authorization have assertions	lyra-compiler/src/test/java/SemanticResolverTest.java#testMutationAuthorizationAndImportedOwnership;lyra-compiler/src/test/java/TypeCheckerTest.java#testScalarsDeclarationsOperatorsAndCalls;lyra-compiler/src/test/java/Domain11FlowStateTest.java#shortCircuitOperatorsRetainTheSkippedCallableEffectPath	semantic
