id	status	requirement	evidence	notes
P24-REPL-R10	PASS	Owner-confined managed console and attach safe points with evaluation-only cancellation	lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationSafePointTest.java#generatedFunctionBoundaryServicesOnePendingRequestAndResumesTheCaller;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationSafePointTest.java#selfTailBackedgesServiceExactlyOneRequestAndAdmitNoNestedEvaluation;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationSafePointTest.java#infiniteSelfTailMainServicesOneOwnerRequestThenResumes;lyra-repl/src/test/java/io/mindspice/lyra/repl/AttachmentCancellationTest.java#cancellationInsideRootCallsTargetsOnlyThatEvaluation;lyra-repl/src/test/java/io/mindspice/lyra/repl/ManagedConsoleSessionTest.java#sessionLivesOnOneDedicatedOwnerAndCloseTearsItDownWithoutThreadLeaks;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplProfileEmissionTest.java#attachableSemanticBoundaryPropagatesThroughCallsAndCaptures	Safe points are explicit effect boundaries; cancellation never terminates main or another request.
P24-REPL-R11	PASS	Conservative producer/type/source lifetime across reset disconnect detach reopen and root close	lyra-repl/src/test/java/io/mindspice/lyra/repl/AttachedValueLifetimeTest.java#valuesStoredBeforeRuntimeFailureSurviveAndRemainReadable;lyra-repl/src/test/java/io/mindspice/lyra/repl/AttachedValueLifetimeTest.java#tupleAndFunctionValuesShareTheRootLifetimeStructuralDomainAcrossReopen;lyra-repl/src/test/java/io/mindspice/lyra/repl/AttachedValueLifetimeTest.java#rootCloseRetiresEveryRetainedProducerAndRejectsReopen;lyra-repl/src/test/java/io/mindspice/lyra/repl/ApplicationAttachmentTest.java#serviceCloseLeavesRootValuesAndDomainAliveAndAllowsReopen;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionGenerationLifecycleTest.java#repeatedReloadResetAndCloseRetireOwnedGenerations;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/RootTypeRegistrationTest.java#serviceCloseLeavesRootOpenAndReopeningReusesTheRootLifetime	Namespace visibility and producer lifetime are separate; root-held producers survive reset/disconnect/reopen until root close.
P24-REPL-R12	PASS	Distinct source identities graph-wide capacity preflight delayed source mapping and bounded results	lyra-repl/src/test/java/io/mindspice/lyra/repl/LyraSessionTest.java#repeatedUrisCommitDistinctModulesAndMapLaterDiagnosticsExactlyOnce;lyra-repl/src/test/java/io/mindspice/lyra/repl/ModuleReloadTest.java#delayedFailuresAndCapturedCallablesKeepTheirExactSameFileSourceRevision;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#graphSourceCapacityRejectsBeforeInitializerEffects;lyra-repl/src/test/java/io/mindspice/lyra/repl/ExecutedSnapshotTest.java#impossibleSnapshotBudgetRejectsBeforeMutatingRetainedStorage;lyra-repl/src/test/java/io/mindspice/lyra/repl/CrossSurfaceLocalApiTest.java#largeDynamicResultsTruncateExplicitlyAfterEffects;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteWireRobustnessTest.java#oversizedDynamicResultIsTruncatedButKeepsTerminalStatus;lyra-repl/src/test/java/io/mindspice/lyra/repl/CrossSurfaceAttachedAppTest.java#attachedRootSourceContextIsPreflightedBeforeServiceAdmission	Pre-effect capacity/minimum-representation rejection is separated from runtime-dependent dynamic truncation.
P24-REPL-R13	PASS	Essential console commands multiline editing history completion and truthful bounded output	lyra-repl/src/test/java/io/mindspice/lyra/repl/PlainConsoleTest.java#reloadTargetRoutesToTheSessionAndReportsItsTerminalOutcome;lyra-repl/src/test/java/io/mindspice/lyra/repl/PlainConsoleTest.java#localAdapterSupportsNonExecutingTypeQueriesAndReloadRunsOnTheSession;lyra-repl/src/test/java/io/mindspice/lyra/repl/ConsoleParsingTest.java#reloadRequiresExactlyOneTargetAndIsNotAnUnavailableNoOp;lyra-cli/src/test/java/io/mindspice/lyra/cli/JLineConsoleTest.java#semanticCompletionUsesCommittedBindingsAndMemberMetadata;lyra-cli/src/test/java/io/mindspice/lyra/cli/JLineConsoleTest.java#fileAndModuleCompletionListsExecutionHostFilesWithoutInitializingThem;lyra-cli/src/test/java/io/mindspice/lyra/cli/JLinePtyTest.java#realTerminalHandlesPasteMultilineResizeCommandsAndCleanup;lyra-cli/src/test/java/io/mindspice/lyra/cli/AttachCliTest.java#attachReportsUnavailableTypeAndReloadWithoutExecutingTypeSource	Exact eight-command set; :type never executes; completion is bounded committed-metadata/filesystem lookup.
P24-REPL-R14	PASS	Host-targeted load/reload/completion and actual compiled std->io with coordinated input	lyra-repl/src/test/java/io/mindspice/lyra/repl/ManagedConsoleSessionTest.java#loadReadsTheExecutionHostFileOnceOnTheOwnerAndReturnsItsSourceText;lyra-repl/src/test/java/io/mindspice/lyra/repl/ManagedConsoleSessionTest.java#consoleSourceAndGeneratedProgramInputShareOneOwnerAndNeverMixHistory;lyra-cli/src/test/java/io/mindspice/lyra/cli/AttachCliTest.java#attachedLoadReadsQuotedServerPathsOnceWithoutClientFileAccess;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteFileModuleTest.java#loadReadsServerFileExactlyOnceIntoAFileUriSource;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteFileModuleTest.java#unicodeAndHostIoStayOnTheirOwnSides;lyra-repl/src/test/java/io/mindspice/lyra/repl/SessionModuleRuntimeTest.java#intrinsicIoExecutesThroughTheSessionAndPreservesFollowingSource;lyra-cli/src/test/java/io/mindspice/lyra/cli/JLinePtyTest.java#generatedReadLinePreservesUnicodeFollowingSourceAndHistoryOrdering	Attached std->io stays on the host; program input never becomes source or history. The removed optional-console permission/symlink security policy is separately classified (P24-REPL-R14-SEC).
P24-REPL-R14-SEC	SUPERSEDED	Optional-console mandatory permission and symlink security policy	.internal-dev/specifications/repl.md#Console;.internal-dev/specifications/deferred-features.md#REPL-security-hardening-and-automatic-local-roots	Security-only filesystem policy was removed; regular-file/UTF-8/I/O diagnostics and canonical module resolution remain unchanged and tested.
P24-REPL-R15	PASS	Clean remote protocol v2 with bounded load/reload/query freshness duplicate and reconnect behavior	lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteProtocolV2Test.java#helloCarriesSessionRevisionMutationSequenceAndActiveRequest;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteWireRobustnessTest.java#duplicateIdentityAndSequenceNeverExecuteSourceTwice;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteWireRobustnessTest.java#terminalResultSuppressesCancellationStatusAfterEvaluationFinishes;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/CrossSurfaceRemoteStandaloneTest.java#reconnectReportsRetainedStatusWithoutReplayOrSourceResubmission;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/CrossSurfaceRemoteStandaloneTest.java#resetAdvancesMutationSequenceWithoutReplayingAndKeepsFreshness;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteFileModuleTest.java#reloadRebuildsServerModulesAndReturnsRealInitializerProgress;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/NoAuthAttachmentTest.java#resetPreservesRootStateAndBumpsTheMutationSequence;lyra-repl/src/test/java/io/mindspice/lyra/repl/remote/RemoteWireRobustnessTest.java#anIdlePeerIsBoundedByTheHandshakeTimeout	Revision plus mutation sequence supplies reset-safe freshness; v1 peers get an explicit upgrade diagnostic (P24-REPL-R15-SEC classifies the removed legacy authenticated mode).
P24-REPL-R15-SEC	SUPERSEDED	Legacy authenticated v1 protocol mode token adapters and silent downgrade paths	.internal-dev/specifications/repl.md#Remote-protocol;.internal-dev/specifications/decisions.md#Trusted-REPL-completion-scope,-2026-09-06	No legacy authenticated mode or token adapter remains; v1 peers are rejected with an upgrade diagnostic rather than silently bypassed.
P24-REPL-R16	PASS	Debug run/compile controls bootstrap wait registration lifecycle and Java embedding	lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#runReplBindsAnUnauthenticatedEndpointAndServicesLiveRootWork;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#compileReplRecordsCapabilityAndNeverListens;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#initFailureGatesLiveWorkAndPreservesThePrimaryFailure;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#literalArgumentsAfterSeparatorAndNonzeroMainExitRemainUnchanged;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplLauncherIT.java#activationIsDisabledByDefaultAndRunsPlainMain;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplLauncherIT.java#activatedLauncherServicesLiveRootWorkAndPreservesTheMainExit;lyra-repl/src/test/java/io/mindspice/lyra/repl/ReplActivationJavaHostTest.java#ownedRunSurvivalReopenAndCleanup;lyra-repl/src/test/java/io/mindspice/lyra/repl/ReplActivationJavaHostTest.java#queuedControlWorkIsRetiredAtShutdownWithoutClosingTheRoot;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplRunCliTest.java#activeRemoteOperationAtShutdownKeepsTerminalStatusAndNoThreadsLeak	Bootstrap gates live work until initialization and registration; activation requires explicit runtime properties; no post-main keepalive.
P24-REPL-R17	PASS	Profile-aware classes thin bundled artifacts with source/resolution context and normal AOT isolation	lyra-runtime/src/test/java/io/mindspice/lyra/runtime/DebugArtifactMetadataTest.java#replCapabilityRecordIsVersionedAndRejectsUnknownSchemas;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplPackagingCompatibilityTest.java#debugCapableNormalEmbedsTheCompleteContextAndRoundTrips;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplPackagingCompatibilityTest.java#debugBundledPackagingWithoutReplClosureIsAnActionableError;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplPackagingCompatibilityTest.java#reconstructionRebuildsTheIdenticalGraphAfterEditDeletionAndResolverLoss;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplPackagingCompatibilityTest.java#noActivationOrTimingValuesEnterArtifactBytes;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplPackagingCompatibilityTest.java#normalArtifactsRemainFreeOfDebugContextAndProductionClosure;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplArtifactIT.java#bundledDebugJarRunsWithNoExternalCompilerOrReplJars;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplArtifactIT.java#ordinaryBundledArtifactsRemainClosureFreeAndRunUnchanged;lyra-cli/src/test/java/io/mindspice/lyra/cli/ReplArtifactIT.java#debugBundledBuildsAreByteIdenticalAcrossRepeatPackaging;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/ReplProfileEmissionTest.java#normalIsTheDefaultAndContainsNoAttachmentHooks;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/LegacySchema1EncodingTest.java#normalMetadataIsByteIdenticalToTheLegacyFixture	Debug capability is versioned metadata with embedded sources/resolution topology; normal artifacts keep ordinary schema-1 compatibility and contain no polling hooks.
P24-REPL-R18	PASS	Fresh exact method-level audit evidence and honest completion across retained scope	tools/phase24-release-audit.sh#test_group;tools/phase24-repl-coverage.tsv;tools/phase24-requirement-matrix.tsv	This inventory is validated by the release audit: every PASS row above must be exact annotated methods executed in the clean reactor; SUPERSEDED/DEFERRED rows must be classified by living specs.
P24-REPL-DEF-001	DEFERRED	Automatic initialization of a local project root at repl ROOT	.internal-dev/specifications/deferred-features.md#REPL-security-hardening-and-automatic-local-roots;.internal-dev/specifications/decisions.md#Trusted-REPL-completion-scope,-2026-09-06;.internal-dev/specifications/repl.md#Status	Local startup is an empty workspace with search directories and explicit imports/loads; explicit application-root registration is the delivered attachment surface.
P24-REPL-DEF-002	DEFERRED	Hostile-code isolation multi-user hardening non-loopback listeners TLS encryption and arbitrary PID or JVM attachment	.internal-dev/specifications/deferred-features.md#REPL-security-hardening-and-automatic-local-roots;.internal-dev/specifications/repl.md#Remote-protocol	The attachment is an explicitly enabled trusted localhost development interface, not a sandbox or authenticated service.
P24-REPL-DEF-003	DEFERRED	Precise heap/escape collection forced class unloading bounded total metaspace and guaranteed cancellation deadlines	.internal-dev/specifications/repl.md#Constraints;.internal-dev/specifications/decisions.md#Trusted-typed-module-linking-and-conservative-retention,-2026-09-06	Conservative standalone/root-lifetime retention and cooperative cancellation are the selected contracts.
