id	source	category	status	requirement	evidence	check
P24-COV-LANG-011	language-core.md#Validation-11	modules	PASS	Imports aliases re-exports visibility and legal and illegal cycles are asserted	lyra-compiler/src/test/java/ModuleGraphDiscoveryTest.java#testReachableHeaderImportsAndCyclesBecomeGraphEdges;lyra-compiler/src/test/java/SemanticResolverTest.java#testImportsAliasesSelectionsReexportsAndVisibility;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#functionOnlyImportCyclesLinkBeforeEitherModuleInitializes;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#publicCompilePreservesSourceOrderAndNoPartialArtifactOnEagerCycle	coverage
P24-COV-LANG-012	language-core.md#Validation-12	diagnostics	PASS	Structured compile diagnostics and invocation-aborting runtime failures are asserted	lyra-compiler/src/test/java/SourceFoundationTest.java#testDiagnosticsCarryDataAndRenderLocations;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#publicCompileRejectsMalformedAndDeferredSyntaxWithoutImplementationFailures;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#runtimeFailureMatrixIncludesFramesAndInitializationCause;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures	coverage
P24-COV-BACK-001	backend-runtime.md#Validation-1	completeness	PASS	Every normative source feature reaches validated typed IR and production bytecode or its specified diagnostic	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/ir/TypedIrTest.java#everyClosedIrVariantIsProducedBySupportedSource;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#publicCompileRejectsMalformedAndDeferredSyntaxWithoutImplementationFailures	coverage
P24-COV-BACK-002	backend-runtime.md#Validation-2	identity	PASS	Stable identities and byte-identical repeated output are proven	lyra-compiler/src/test/java/TypeIdentityTest.java#testCompilationIdsAreDeterministicAndImmutable;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#identicalSnapshotsEmitByteIdenticalPlansAndClasses;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#repeatedCleanCompilationsProduceByteIdenticalArtifacts	coverage
P24-COV-BACK-003	backend-runtime.md#Validation-3	modules	PASS	Module resolution eager order legal function cycles and rejected value cycles are proven	lyra-compiler/src/test/java/ModuleGraphDiscoveryTest.java#testOrderingAndRevisionsIgnorePhysicalPaths;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#functionOnlyImportCyclesLinkBeforeEitherModuleInitializes;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#pathGraphCompilesDependencyFirstAndKeepsInstancesIndependent	coverage
P24-COV-BACK-004	backend-runtime.md#Validation-4	verification	PASS	Classes thin JARs and bundled JARs verify and load under Java 25	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase15SmokeTest.java#verifiesAndInvokesTheCompleteArtifactInAnExternalJvm;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#bundledJarExecutesWithJvmVerificationAndPreservesReturnedStatus;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#classesThinAndBundledArtifactsAreDeterministicAndExternallyVerifiable	coverage
P24-COV-BACK-005	backend-runtime.md#Validation-5	abi	PASS	Exact descriptors signatures unsigned and nilable Unit positions and aggregate ABI are proven	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/JvmAbiMapperTest.java#arraysTuplesAndFunctionsUseConcreteGeneratedReferences;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#facadeSurfaceIsTypedReservedAndOptionsAware	coverage
P24-COV-BACK-006	backend-runtime.md#Validation-6	closures	PASS	Captures cells constant-stack self-tail calls recursion failures and source frames are proven	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#separateClosuresShareOneCapturedMutableCell;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#translatesOrdinaryRecursionStackOverflowAtGeneratedCallBoundary;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase23StructuralBytecodeTest.java#directSelfTailCallHasNoGeneratedRecursiveInvokeAndKeepsConstantStack;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#runtimeFailureMatrixIncludesFramesAndInitializationCause	coverage
P24-COV-BACK-007	backend-runtime.md#Validation-7	cli	PASS	CLI run compile exact main argument forwarding exit values and diagnostics are proven	lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#helpVersionAndUsageAreStable;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase21CliTest.java#bundledJarPassesLiteralSeparatorToMain;lyra-cli/src/test/java/io/mindspice/lyra/cli/Phase22CliConformanceTest.java#runMapsRuntimeFailuresAndDeferredSyntaxToSourceFailures	coverage
P24-COV-BACK-008	backend-runtime.md#Validation-8	java-consumer	PASS	Direct Java facade compilation typed calls setters function values and runtime exact handles are proven	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#generatedFacadeCompilesAsAnOrdinaryJavaConsumer;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#compilerPublishesImmutableArtifactAndExactBoundHandle;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#generatedFacadeExposesExactJavaTypesAndCompilesAsAConsumer	coverage
P24-COV-BACK-009	backend-runtime.md#Validation-9	lifecycle	PASS	Instance isolation owner checks eager failure idempotent close and post-close failures are proven	lyra-runtime/src/test/java/io/mindspice/lyra/runtime/RuntimeFoundationTest.java#optionsOwnNoStreamsAndLifecycleChecksOrderAndInvalidation;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase17SmokeTest.java#lifecycleIsOwnerConfinedIdempotentAndInvalidatesClosures;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#handlesAndClosuresAreOwnerConfinedAndInvalidatedAfterClose	coverage
P24-COV-BACK-010	backend-runtime.md#Validation-10	failures	PASS	Runtime categories frames synthetic handling stack translation and link verify boundaries are proven	lyra-runtime/src/test/java/io/mindspice/lyra/runtime/RuntimeFoundationTest.java#everyRuntimeCategoryCarriesImmutableStructuredPayload;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase16SmokeTest.java#translatesOrdinaryRecursionStackOverflowAtGeneratedCallBoundary;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase19PublicApiTest.java#definitionBoundaryTranslatesBrokenClassLinkage;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#corruptionAndCompatibilityAreRejectedBeforeUsableLoading	coverage
P24-COV-BACK-011	backend-runtime.md#Validation-11	artifacts	PASS	Canonical JSON manifests atomic publication compatibility and reproducibility are proven	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/artifact/Phase18ArtifactTest.java#metadataIsCanonicalEscapedOrderedAndReadable;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/backend/jvm/Phase18SmokeTest.java#thinJarIsStoredReproducibleAndUsesEpochEntries;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#metadataAndDebugMapRemainCanonicalWithOptionalSources	coverage
P24-COV-BACK-012	backend-runtime.md#Validation-12	io	PASS	Standard I/O ordering EOF failures conversion and string and array length are proven	lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase20IoTest.java#outputUsesConfiguredCharsetOneWritePerCallAndFlushes;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase20IoTest.java#readLineDecodesUtf8StripsOnlyCrLfAndUsesNilOnlyAtCleanEof;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase20IoTest.java#interruptedReadPreservesTheInterruptStatus;lyra-compiler/src/test/java/io/mindspice/lyra/compiler/api/Phase22ConformanceTest.java#completeLanguageMatrixReachesValidatedIrAndPublicRuntime	coverage
P24-COV-BACK-013	backend-runtime.md#Validation-13	performance	PASS	JMH evidence is recorded against direct Java with GC allocation and owner-ratified gates	tools/phase23-evidence.sh;tools/phase23-gates.json;tools/phase23_gate.py	coverage
